Accessories,Body Color,Body Material,Body Type,Brand,Bundle Description,Color,Condition,Country of Manufacture,Country/Region of Manufacture,Custom Bundle,Dexterity,Features,Fingerboard,Hand,Items Included,MPN,Model,Model Year,Modification Description,Modified Item,Neck,Non-Domestic Product,Pickup,Product Line,Product Type,Right-/ Left-Handed,Serial Number,Series,Size,Soundboard Style,String Configuration,Style,Type,UPC,serial number,Price
,Sunburst,,,Fender,,,Used,,Mexico,,,Pair of Noiseless pickups,,,,Does Not Apply,,2000-2001,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,Does not apply,,374.99
,Sunburst,"Solid Wood, MAH",Semi-Hollow,KING,,,Used,,,No,Right-Handed,,,,,SBGLS,,2019,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,127.5
,,Maple,Solid,Squier,,,,,,No,,,,,,50's TELE,Classic,2019,,No,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,196.5
,,Walnut,Solid,Mitchell,,,Used,,,No,,,,,,MS100,MS100,2018,,No,,,,,,Right-Handed,,,22.5 Scale,,6 String,,,Does not apply,,31.0
,Red,,Solid,B.C. Rich,,,"Seller refurbished: An item that has been restored to working order by the eBay seller or a third party not approved by 

																			the manufacturer. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,375.0
,Red,Ash,Solid,Fretlight,,,,,,No,Right-Handed,"Volume Knob, With Pickup",,,,Does Not Apply,FG-621,,,No,,,,,,Right-Handed,,,Full Size,,6 String,,,does not apply,,225.0
,,Alder,Solid,Fender,,,Used,,,,,,,,,0115602303,HSS,,,,,,,,,,,,,,6 String,,,0717669851866,,720.0
,Black Sparkle,Alder,Solid,Gretsch,,,New,China,,,Right-Handed,,,,,2515900506,G5265 Jet Baritone,,,,,,,,,,,Electromatic,,,6 String,,,717669259570,,549.99
,,Alder,Solid,Squier,,,Used,,,,,,,,,0310202503,,,,,,,,,,,,,,,6 String,,,885978102341,,169.0
,,Mahogany,,Epiphone,,,Used,,,,,,,,,EGJRCHNH3,Les Paul Junior,,,,,,,Epiphone Les Paul,,,,,,,6 String,,,0711106325200,,120.0
,Blue,Mahogany,Semi-Hollow,firefly,,,New,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,139.96
,Red,,,,,,Used,,,,,,,,,,Les Paul Studio,2004,,,,,,Gibson Les Paul,,Right-Handed,,,,,6 String,,,0711106004327,,600.0
,Orange,Mahogany,Semi-Hollow,firefly,,,New,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,139.96
,Black,Spruce,Flat Top,Artist,,Black,New,,,Yes,,,,,,LSPSCEQBK,,,,,,,,,,#N/A,,LSP,#N/A,Flat Top,6 String,,Acoustic Guitar,Does not apply,,159.0
,,,,Rise by Sawtooth,,Black,"Manufacturer refurbished: An item that has been professionally restored to working order by a manufacturer or 

																			manufacturer-approved vendor. This means the product has been inspected, cleaned, and repaired to meet manufacturer specifications and is in excellent condition. This item may or may not be in the original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,ST-RISE-ST-3/4-BLK-KIT-1,ST-RISE-ST-3/4-BLK-KIT-1,,,,,,,,,,,,,,,,,811501055532,,100.0
,,,,Roth,,,New,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,DIY Project Kit,Does not apply,,135.0
,,Solid Wood,Solid,Generic,,,New,China,,,Right-Handed,ST Style,Rosewood,,,GJY3478582350088CI,,,,,Maple,,,,,,,,,,6 String,,ST Style,798881664236,,62.99
,,,Standard,Segawe,,,New,,,,Right-Handed,,,,,GSD-Y01-1208,,,,,,,,,,,,Classic,"38""",,6 String,,,,,29.8
,,Solid Wood,Solid,Unbranded/Generic,,,New,China,,,Right-Handed,ST Style,Rosewood,,,Does not apply,,,,,Maple,,,,,,,,,,6 String,,ST Style,Does not apply,,115.64
,,"Solid Wood, Basswood",Solid,HUNTINGTON,,,New,China,China,No,Right-Handed,,,,,GE139,,,,No,,No,,,,Right-Handed,,,Full Size,,6 String,,Electric Guitar,Does not apply,,79.95
,,,,Unbranded,,,New,,,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,56.99
,,,,Gretsch,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,885978066674,,359.99
,,,,Jackson,,,Used,,,,,,,,,2910147586,,,,,,,,,,,,,,,,,,885978977000,,209.0
,,,,Fender,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,717669033798,,159.99
,Worn Brown,,,Gibson,,,Used,,United States,No,Right-Handed,,,,,,SG Special,2018,,No,,,,Gibson SG,,,,,,,6 String,,,,,679.0
,Blue,Mahogany,,Schecter,,,,,,,,,,,,2016,Omen 6,,,No,,,,,,,,,Full Size,Archtop,6 String,,,0815447022245,,379.0
,Bone White,"Mahogany, Solid Wood",Solid,Epiphone,,,,,China,,Right-Handed,,,,,Does not apply,Bjorn Gelotte Les Paul Custom,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,799.0
,Dark blue with maple top,,PRS style,Dillion,,,Used,,"Korea, Republic of",,Right-Handed,,,,,DR-1500 T,DR-1500 T,,,,,,,,,,,,Full Size,Archtop,6 String,,,Does not apply,,390.0
,,,,Fender,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,Mexico,,,,,,,0147502303,0147502303,,,,,,,,,,,,,,,,,885978650514,,799.99
,Sunburst,,Solid,ESP,,,Used,,Vietnam,,,,,,,,ST-203,,,,,,,ESP LTD,,Right-Handed,,,,,6 String,,,,,299.0
,Black,,Solid,ESP,,,Used,,,,,,,,,EC-256FM,,,,,,,,ESP LTD EC-256,,Right-Handed,,,,,6 String,,,Does not apply,,207.5
,,,,EPIPHONE,,,Used,,,,,,,,,,E-230 CASINO 50th Anniversary '61 Reissue,2011,,,,,,,,,,,,,6 String,,,Does Not Apply,,1299.0
,Sun Burst,,Hollow,Gibson,,,Used,,,,,,,,,,ES-175,2006,,,,,,Gibson ES175,,Right-Handed,,,,,6 String,,,,,2133.0
,,Plywood,,Unbranded,,,New,,China,,,,,,,Does not apply,,,,No,,,,,,Right-Handed,,,23in,,6 String,,,Does not apply,,13.35
,,Ash,Solid,Slick,,,Used,,,,,,,,,Does Not Apply,SL54,,,No,,,,,,Right-Handed,,,,,6 String,,,,,212.49
,Deep Red Wine,,Solid,Ibanez,,,Used,,"Korea, Republic of",,,,,,,Does Not Apply,RG-270 DX,,,,,,,Ibanez RG,,Right-Handed,,,Full Size,,6 String,,,,,250.0
,,,Solid,Harley Benton,,,Used,,,,,,,,,Does Not Apply,CST 24,,,No,,,,,,Right-Handed,,,,,6 String,,,,,191.5
,Cherry Burst,"Swamp Ash Body, Maple Neck, Ash",Solid,ESP,,,Used,,Japan,No,,,,,,,Custom,1998,,No,,,,,,,,,Full Size,,6 String,,,,,750.0
,,,,Jackson,,,Used,,,,,,,,,,Custom,,,,,,,Jackson USA Signature,,Right-Handed,,,,,6 String,,,,,1800.0
,,,Solid,Unbranded,,,,,,,,,,,,,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,104.0
,,,Semi-Hollow,PRS,,,Used,,,,,,,,,,SE Custom 22,2019,,,,,,,,Right-Handed,,,,,6 String,,,,,381.0
,,,Solid,Harley Benton,,,Used,,,,,,,,,Does Not Apply,Fusion II,,,No,,,,,,Right-Handed,,,,,6 String,,,,,227.0
,sunbusrt,Mahogany,Solid,Harley Benton,,,Used,,,,,,,,,,,2018,,,,,,,,,,,,,6 String,,,,,305.0
,,,Dreadnought,Taylor,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,559.0
,,Ash,,Slick,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,275.0
,Natural,Ash,Solid,Fernandes,,,Used,,Japan,,,,,,,,TE-1N,1990s,,,,,,,,Right-Handed,,,,,6 String,,,,,435.0
,Red,,Solid,Fender,,,Used,,,,,,,,,Does Not Apply,Fender Player Telecaster,,,,,,,,,,,,,,6 String,,,,,399.99
,,,,Gibson,,,Used,,,,,,,,,,Les Paul Classic,2006,,,,,,Gibson Les Paul,,,,,,,6 String,,,,,1105.0
,,,,ESP,,,New,,,,,,,,,LTD M-1001 See Thru Black,,,,,,,,,,,,,,,,,,799493248340,,1049.0
,Blue,,,Unbranded,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,65.0
,,,,Rickenbacker,,,,,,,,,,,,,,,,,,,,,,,,,Full Size,,,,,,,3275.0
,Black,,Hollow,ESP,,,Used,,,,,,,,,,,,,,,,,ESP LTD,,Right-Handed,,,,,6 String,,,,,710.0
,Cajun Red,,,Anderson,,,Used,,,,,,,,,,,,,,,,,Bulldog,,Right-Handed,,,,,6 String,,,,,2150.0
,Red,Solid Wood,Solid,G&L,,,Used,,,,Right-Handed,PUSH/PULL POT,,,,Does Not Apply,Fiorano GTS,,,,,,,,,,,,,,6 String,,,,,760.0
,Black,,Solid,kramer,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,Flat Top,7 String,,,,,760.57
,Black,,Semi-Hollow,Epiphone,,,Used,,,,Right-Handed,,,,,Does Not Apply,Lucille,,,,,,,,,,,,Full Size,,6 String,,Electric Guitar,Does not apply,,429.0
,Matte Black,Mahogany,Semi-Hollow,firefly,,,New,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,159.99
,,,Solid,Unbranded,,,,,,,,,,,,,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,94.0
,Clear,Solid Wood,Solid,Gretsch,,,Used,,,,,,,,,Does Not Apply,TK-300,1979,,,,,,,,Right-Handed,,,,,6 String,,,,,900.0
,White,,Solid,Fernandes,,,,,,,,,,,,,Vortex Elite,2008,,,,,,Fernandes,,Right-Handed,,,Full Size,,6 String,,,,,649.0
,Sunburst,,,Fender,,,Used,,,,,,,,,,,,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,925.0
,Red,,Adult Full Size,Austin,,,Used,,,No,,,,,,Does Not Apply,,,,,,,,,,,,,Full Size,,6 String,,,Does not apply,,38.5
,,,Telecaster,Fender,,,Used,,,,,,,,,Telecaster,Telecaster,2012,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,1449.0
,Tiger Flamed Silver,,Solid,Hard Luck Kings,,,,,,,,,,,,,Southern Belle Tele Custom,,,,,,,,,,,,Full Size,,6 String,,,,,225.0
,,Koa,,Takamine,,,,,,,,,,,,TAKGN77KCENAT,GN77KCE,2017,,,,,,,,Right-Handed,,,,,6 String,,,,,545.0
,Multicolor,,,Fender,,,Used,,Mexico,No,,,,,,Does Not Apply,TELECASTER,1995,,,,,,Fender Telecaster,,Right-Handed,,,,Flat Top,6 String,,,,,245.0
,Cherry Sunburst,"Mahogany, Maple, Rosewood",Solid,PRS,,,Used,,,,,,,,,,SE Custom 24,,,,,,,,,,,,Full Size,,6 String,,,,,485.0
,Sunburst,,Semi-Hollow,Gibson,,,Used,USA,United States,,Right-Handed,,,,,Does Not Apply,Firebird V,2016,,,,,,,,,,,,,6 String,,,,,1299.99
,Black,,,Zivix,,Black,"Manufacturer refurbished: An item that has been professionally restored to working order by a manufacturer or 

																			manufacturer-approved vendor. This means the product has been inspected, cleaned, and repaired to meet manufacturer specifications and is in excellent condition. This item may or may not be in the original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,United States,,,,,,,O-J7-BLE-BK-R,Jamstik 7 Smart Guitar,2018,,No,,,,,,Right-Handed,,,7 Fret,,6 String,,,,,139.99
,Black,,,Fender,,,Used,,Unknown,,,"Volume Knob, With Pickup",,,,Does Not Apply,,,,,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,49.99
,White,,Semi-Hollow,Supro,,,Used,,Martinique,,,,,,,,Martinique,2015,,No,,,,,,Right-Handed,,,,,6 String,,,,,699.99
,Natural Blonde,Maple,Solid,Gibson,,,Used,,,,,,,,,,RD Custom,,,,,,,RD Custom,,Right-Handed,,,,,6 String,,,,,1595.0
,Black,,Solid,Jackson,,,Used,,Japan,,,"SEYNOUR DUNCUN PICKUPS, CROME FLOYD ROSE TREMELO, 5 WAY SWITCH, TONE KNOB, SHARK FIN INLAYS, LOCKING NUT, Volume Knob",,,,Does Not Apply,DK2,1997,,,,,,,,Right-Handed,,,,,6 String,,,,,125.9
,,,,Yamaha,,,"For parts or not working: An item that does not function as intended and is not fully operational. This includes items that 

																			are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,Does not apply,,100.0
,,,,LTD,,,Used,,,,,,,,,SC-200,,,,,,,,ESP LTD,,,,,,,6 String,,,Does not apply,,269.0
,natural with art work,Ash,Solid,Fender,,,Used,,Mexico,,,Single Cut,,,,,Fender Jimmy Page Telecaster,2019,,,,,,,,Right-Handed,,,,,6 String,,,,,1049.99
,,,,Douglas,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,Does not apply,,163.5
,,,Solid,Ibanez,,,Used,,,,,,,,,,Custom,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,90.0
,Pink,,,Bluewater,,,New,,,,,Volume Knob,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,999.0
,,,Solid,Unbranded,,,"Seller refurbished: An item that has been restored to working order by the eBay seller or a third party not approved by 

																			the manufacturer. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,,SG Custom,,,,,,,,,Right-Handed,,,,,6 String,,,,,120.0
,Natural,Maple,Hollow,Washburn,,,Used,,,,,"Single Cut, With Pickup",,,,J3NK,J3NK,2019,,,,,,Jazz Series,,Right-Handed,,,,Archtop,6 String,,,,,395.0
,Fireburst,,Solid,Gibson,,,Used,,United States,,,,,,,Does Not Apply,Les Paul Studio,2012,,,,,,Gibson Les Paul,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,780.0
,3-TONE SUNBURST,,Solid,Squier,FENDER GIGBAG,,Used,,,Yes,,"Single Cut, Volume Knob, With Pickup",,,,Does Not Apply,'60s TELECASTER CUSTOM,2012,,,,,,CLASSIC VIBE,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,399.99
