Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,GRAY,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,107.82
OTHER,NOT AVAILABLE,GRAY,SCHECTER,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,88.88
OTHER,NOT AVAILABLE,YELLOW,FIREFLY,NOT AVAILABLE,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,89.99
OTHER,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,SOLID,2019.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,475.0
OTHER,NOT AVAILABLE,WHITE,GUILD,PROVIDED,SOLID WOOD,SOLID,1984.0,OTHER,UNITED STATES,6 STRING,RIGHT-HANDED,OTHER,Used,949.0
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,OTHER,2009.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,FENDER TELECASTER,Used,1000.0
OTHER,PROVIDED,BLACK,SCHECTER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,742.5
OTHER,NOT AVAILABLE,BROWN,EPIPHONE,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,595.0
PLUS,NOT AVAILABLE,OTHER,EPIPHONE,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,EPIPHONE LES PAUL,NOT AVAILABLE,175.0
OTHER,PROVIDED,OTHER,IBANEZ,NOT AVAILABLE,OTHER,SOLID,2019.0,FULL SIZE,INDONESIA,7 STRING,RIGHT-HANDED,OTHER,NOT AVAILABLE,699.99
LES PAUL,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2012.0,STANDARD,NOT AVAILABLE,6 STRING,RIGHT-HANDED,GIBSON LES PAUL,Used,620.0
